POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104JL,DL10 4JL,DL10 4JL,54.402745,-1.735999,E37000039,,E10000023,E07000166,E05006294
DL104JN,DL10 4JN,DL10 4JN,54.402253,-1.736301,E37000039,,E10000023,E07000166,E05006294
DL104JP,DL10 4JP,DL10 4JP,54.401820,-1.736205,E37000039,,E10000023,E07000166,E05006294
DL104JQ,DL10 4JQ,DL10 4JQ,54.402987,-1.735843,E37000039,,E10000023,E07000166,E05006294
DL104JR,DL10 4JR,DL10 4JR,54.401395,-1.735021,E37000039,,E10000023,E07000166,E05006294
DL104JS,DL10 4JS,DL10 4JS,54.401835,-1.735034,E37000039,,E10000023,E07000166,E05006294
DL104JT,DL10 4JT,DL10 4JT,54.402743,-1.735244,E37000039,,E10000023,E07000166,E05006294
DL104JU,DL10 4JU,DL10 4JU,54.403832,-1.735853,E37000039,,E10000023,E07000166,E05006292
DL104JW,DL10 4JW,DL10 4JW,54.402576,-1.736801,E37000039,,E10000023,E07000166,E05006294
DL104JX,DL10 4JX,DL10 4JX,54.404214,-1.732946,E37000039,,E10000023,E07000166,E05006294
DL104JY,DL10 4JY,DL10 4JY,54.405504,-1.731837,E37000039,,E10000023,E07000166,E05006292
DL104JZ,DL10 4JZ,DL10 4JZ,54.404844,-1.730193,E37000039,,E10000023,E07000166,E05006292
DL104LA,DL10 4LA,DL10 4LA,54.402171,-1.724480,E37000039,,E10000023,E07000166,E05006292
DL104LB,DL10 4LB,DL10 4LB,54.403764,-1.729368,E37000039,,E10000023,E07000166,E05006282
DL104LD,DL10 4LD,DL10 4LD,54.402820,-1.729051,E37000039,,E10000023,E07000166,E05006282
DL104LE,DL10 4LE,DL10 4LE,54.402451,-1.729176,E37000039,,E10000023,E07000166,E05006282
DL104LF,DL10 4LF,DL10 4LF,54.402297,-1.728392,E37000039,,E10000023,E07000166,E05006282
DL104LG,DL10 4LG,DL10 4LG,54.402514,-1.729238,E37000039,,E10000023,E07000166,E05006282
DL104LH,DL10 4LH,DL10 4LH,54.401249,-1.730062,E37000039,,E10000023,E07000166,E05006282
DL104LJ,DL10 4LJ,DL10 4LJ,54.400955,-1.727030,E37000039,,E10000023,E07000166,E05006282
DL104LL,DL10 4LL,DL10 4LL,54.400335,-1.727296,E37000039,,E10000023,E07000166,E05006282
DL104LN,DL10 4LN,DL10 4LN,54.399837,-1.725759,E37000039,,E10000023,E07000166,E05006282
DL104LP,DL10 4LP,DL10 4LP,54.403525,-1.735069,E37000039,,E10000023,E07000166,E05006292
DL104LQ,DL10 4LQ,DL10 4LQ,54.401839,-1.728672,E37000039,,E10000023,E07000166,E05006282
